timestamp,tc,internal
1772523534.377268,36.75,23.56
1772523535.384327,37.0,23.56
1772523536.3922849,37.0,23.56
1772523537.400243,37.0,23.56
1772523538.407392,37.0,23.56
1772523539.415272,37.0,23.62
1772523540.422358,37.0,23.56
1772523541.430345,37.0,23.56
1772523542.437307,37.0,23.56
1772523543.445293,37.25,23.62
1772523544.453273,37.0,23.62
1772523545.4603908,37.25,23.62
1772523546.4682539,37.25,23.62
1772523547.475373,37.25,23.62
1772523548.483361,37.0,23.62
1772523549.491261,37.25,23.62
1772523550.498347,37.25,23.62
1772523551.505342,37.25,23.56
1772523552.5133529,37.25,23.56
1772523553.5203469,37.25,23.62
1772523554.5273652,37.25,23.62
1772523555.534519,37.25,23.62
1772523556.5415401,37.5,23.69
1772523557.5493062,37.25,23.62
1772523558.557282,37.25,23.62
1772523559.564241,37.5,23.62
1772523560.57134,37.25,23.62
1772523561.578366,37.25,23.69
1772523562.585381,37.5,23.69
1772523563.592322,37.5,23.69
1772523564.600279,37.5,23.62
1772523565.607436,37.5,23.62
1772523566.6153228,37.5,23.69
1772523567.6232991,37.5,23.62
1772523568.631325,37.5,23.69
1772523569.639287,37.75,23.69
1772523570.647302,37.75,23.69
1772523571.6553578,37.75,23.69
1772523572.663373,37.5,23.69
1772523573.671381,37.75,23.69
1772523574.679392,37.75,23.69
1772523575.6883688,37.75,23.69
1772523576.696365,37.75,23.69
1772523577.704344,37.75,23.75
1772523578.712419,37.75,23.69
1772523579.7213252,37.75,23.69
1772523580.729342,37.75,23.69
1772523581.73734,37.75,23.69
1772523582.745377,38.0,23.75
1772523583.753435,37.75,23.75
1772523584.761356,38.0,23.75
1772523585.769353,38.0,23.75
1772523586.7764459,38.0,23.69
1772523587.78437,38.0,23.69
1772523588.79235,38.0,23.75
1772523589.799438,38.0,23.75
1772523590.8073258,38.0,23.75
1772523591.814494,38.0,23.75
1772523592.82242,38.0,23.75
1772523593.830384,38.0,23.75
1772523594.837356,38.0,23.75
1772523595.844395,38.0,23.81
1772523596.851498,38.0,23.75
1772523597.8594282,38.0,23.75
1772523598.867319,38.0,23.75
1772523599.87442,38.0,23.75
1772523600.881432,38.0,23.75
1772523601.889347,38.25,23.81
1772523602.896387,38.25,23.81
1772523603.9043462,38.25,23.81
1772523604.9113522,38.25,23.81
1772523605.918545,38.25,23.81
1772523606.925428,38.25,23.81
1772523607.933354,38.25,23.81
1772523608.940361,38.25,23.81
1772523609.947413,38.25,23.81
1772523610.954453,38.25,23.81
1772523611.961496,38.25,23.88
1772523612.9693902,38.25,23.81
1772523613.9764512,38.25,23.81
1772523614.98444,38.5,23.81
1772523615.992362,38.25,23.81
1772523616.999451,38.25,23.81
1772523618.007416,38.5,23.88
1772523619.014462,38.5,23.88
1772523620.022474,38.5,23.88
1772523621.0303721,38.5,23.88
1772523622.037461,38.5,23.88
1772523623.045388,38.5,23.88
1772523624.052541,38.5,23.88
1772523625.060443,38.5,23.88
1772523626.0684779,38.5,23.94
1772523627.076471,38.5,23.88
1772523628.084387,38.75,23.88
1772523629.092381,38.5,23.94
1772523630.099475,38.5,23.94
1772523631.107511,38.5,23.88
1772523632.1154702,38.75,23.88
1772523633.123415,38.75,23.94
1772523634.130471,38.75,23.94
1772523635.138379,38.75,23.94
1772523636.145403,38.75,23.94
1772523637.153436,38.75,23.94
1772523638.161401,38.75,23.94
1772523639.168499,38.75,23.94
1772523640.176451,39.0,23.94
1772523641.184392,39.0,23.94
1772523642.191475,39.0,24.0
1772523643.199428,39.0,23.94
1772523644.207406,39.0,23.94
1772523645.214485,39.0,24.0
1772523646.222503,39.0,23.94
1772523647.230461,39.0,23.94
1772523648.2384372,39.0,23.94
1772523649.246412,39.25,24.0
1772523650.253522,39.25,24.0
1772523651.261439,39.0,23.94
1772523652.2684228,39.0,24.0
1772523653.2754939,39.25,23.94
1772523654.2824929,39.25,24.0
1772523655.2904582,39.25,24.0
1772523656.298399,39.25,24.0
1772523657.305517,39.25,24.0
1772523658.31342,39.25,24.0
1772523659.32041,39.25,24.0
1772523660.3274791,39.25,24.0
1772523661.3345459,39.25,24.06
1772523662.341542,39.25,24.0
1772523663.3485498,39.25,24.0
1772523664.355478,39.25,24.0
1772523665.3624399,39.25,24.0
1772523666.369462,39.25,24.06
1772523667.375517,39.25,24.06
1772523668.382484,39.25,24.06
1772523669.389471,39.5,24.06
1772523670.3964858,39.25,24.06
1772523671.403463,39.25,24.06
1772523672.4105,39.25,24.0
1772523673.4174578,39.5,24.06
1772523674.424478,39.25,24.06
1772523675.431489,39.5,24.06
1772523676.438512,39.5,24.06
1772523677.4454641,39.5,24.06
1772523678.452516,39.5,24.06
1772523679.4604318,39.5,24.06
1772523680.467444,39.5,24.06
1772523681.474468,39.5,24.06
1772523682.481539,39.5,24.06
1772523683.4894452,39.5,24.06
1772523684.4964721,39.5,24.06
1772523685.503505,39.5,24.06
1772523686.510514,39.5,24.06
1772523687.517494,39.5,24.06
1772523688.525467,39.5,24.06
1772523689.5324988,39.5,24.06
1772523690.539509,39.75,24.06
1772523691.547464,39.5,24.06
1772523692.554498,39.75,24.06
1772523693.5615518,39.75,24.06
1772523694.568521,39.75,24.06
1772523695.5764658,39.5,24.12
1772523696.5834339,39.5,24.06
1772523697.590511,39.5,24.06
1772523698.597592,39.75,24.06
1772523699.605502,39.75,24.12
1772523700.613468,39.75,24.06
1772523701.620561,39.75,24.06
1772523702.628499,39.75,24.12
1772523703.6355789,39.75,24.12
1772523704.64349,39.75,24.12
1772523705.6505501,39.75,24.12
1772523706.657501,39.75,24.06
1772523707.664528,39.75,24.12
1772523708.671532,39.75,24.12
1772523709.678594,40.0,24.12
1772523710.685517,40.0,24.12
1772523711.692611,39.75,24.12
1772523712.700499,40.0,24.12
1772523713.7076218,40.0,24.12
1772523714.714581,40.0,24.12
1772523715.722504,40.0,24.12
1772523716.729504,40.0,24.12
1772523717.736542,40.0,24.12
1772523718.743666,40.0,24.12
1772523719.750616,40.0,24.12
1772523720.758506,40.0,24.12
1772523721.7655292,40.0,24.12
1772523722.772557,40.0,24.12
1772523723.779561,40.0,24.12
1772523724.786655,40.0,24.12
1772523725.794549,40.0,24.12
1772523726.802516,40.0,24.12
1772523727.809632,40.0,24.06
1772523728.8165052,40.0,24.12
1772523729.823602,40.0,24.12
1772523730.831519,40.0,24.12
1772523731.838593,40.0,24.12
1772523732.845598,40.0,24.12
1772523733.853567,40.0,24.12
1772523734.86154,40.0,24.12
1772523735.86858,40.0,24.12
